epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,672.733,0.54985,0.60629,1.14432,0.99153,0.99456,0.995,0.92422,0.39394,0.29953,0.92946,0.000389661,0.000389661,0.000389661
44,684.941,0.54336,0.5673,1.14194,0.98548,0.99931,0.995,0.93654,0.37199,0.28131,0.90519,0.000383058,0.000383058,0.000383058
45,697.591,0.52471,0.54801,1.12556,0.98078,0.99362,0.995,0.91316,0.41991,0.30745,0.96363,0.000376455,0.000376455,0.000376455
46,709.852,0.53685,0.56084,1.13637,0.99135,1,0.995,0.91953,0.38886,0.29046,0.91059,0.000369851,0.000369851,0.000369851
47,722.561,0.52773,0.53739,1.12678,0.98877,1,0.995,0.93082,0.38846,0.2823,0.91124,0.000363248,0.000363248,0.000363248
48,736.224,0.54277,0.55578,1.13537,0.98507,0.99845,0.995,0.92559,0.36728,0.27481,0.90812,0.000356645,0.000356645,0.000356645
49,749.097,0.52218,0.52687,1.12341,0.98982,0.99989,0.995,0.93539,0.36579,0.26339,0.90434,0.000350042,0.000350042,0.000350042
50,761.918,0.52964,0.53446,1.13896,0.98795,1,0.995,0.90978,0.43127,0.28747,0.98673,0.000343438,0.000343438,0.000343438
51,775.484,0.53122,0.53454,1.1331,0.98449,1,0.995,0.93294,0.36841,0.27098,0.90057,0.000336835,0.000336835,0.000336835
52,788.65,0.50633,0.52808,1.11891,0.98764,1,0.995,0.92911,0.38454,0.27046,0.92238,0.000330232,0.000330232,0.000330232
53,802.006,0.53119,0.54145,1.13537,0.98614,1,0.995,0.91305,0.38517,0.26667,0.92035,0.000323628,0.000323628,0.000323628
54,815.206,0.48113,0.48731,1.09362,0.98672,1,0.995,0.91761,0.41161,0.2822,0.95264,0.000317025,0.000317025,0.000317025
